"","usingObserved","treeType","scale","counted","mean","pi.lower","pi.upper"
"1",FALSE,"tree",0.01,100,0.623047371461567,0.261729173843832,0.920811077750455
"2",TRUE,"tree",0.01,100,0.668854589233169,0.285720750882963,0.953508376113241
"3",FALSE,"tree",0.1,100,0.639171092893383,0.283955240351243,0.925632510837311
"4",TRUE,"tree",0.1,100,0.687031847067647,0.354881643300442,0.939137250662026
"5",FALSE,"tree",1,100,0.631299476829472,0.332345728732657,0.886089915392724
"6",TRUE,"tree",1,100,0.65528449200251,0.273710357801183,0.946932014813016
"7",FALSE,"tree",10,100,0.590926410073165,0.274327393794982,0.872384764244776
"8",TRUE,"tree",10,100,0.631426881658335,0.241637591079718,0.940534720253425
"9",FALSE,"tree",100,100,0.482185616501662,0.298271473077116,0.668309277966823
"10",TRUE,"tree",100,100,0.525178898434052,0.294924876638031,0.750496821740044
"11",FALSE,"dirichlet",0.01,100,0.382997294559066,0.349126150356188,0.417354018176932
"12",TRUE,"dirichlet",0.01,100,0.467443344640494,0.342493850617999,0.594193021621149
"13",FALSE,"dirichlet",0.1,100,0.405999087743701,0.38675967899099,0.425360635755168
"14",TRUE,"dirichlet",0.1,100,0.533086685240281,0.338420599573373,0.723270255967233
"15",FALSE,"dirichlet",1,100,0.368012067557963,0.276407691417859,0.463894765523816
"16",TRUE,"dirichlet",1,100,0.49742572648315,0.332274954263964,0.662827060659186
"17",FALSE,"dirichlet",10,100,0.399999513549418,0.38025690854191,0.419879694336316
"18",TRUE,"dirichlet",10,100,0.486294020232371,0.298673529277425,0.675683255355064
"19",FALSE,"dirichlet",100,100,0.396982424002528,0.350726322480689,0.444029524863514
"20",TRUE,"dirichlet",100,100,0.467104152415906,0.316118684557655,0.620798100064346
"21",FALSE,"tree",0.01,200,0.936989589105908,0.820968401313317,0.996076759760571
"22",TRUE,"tree",0.01,200,0.967971932073087,0.886033043663359,0.999703266691201
"23",FALSE,"tree",0.1,200,0.926823228078018,0.7999206414326,0.994324275781135
"24",TRUE,"tree",0.1,200,0.96236896238725,0.873882274087099,0.999343745709998
"25",FALSE,"tree",1,200,0.91996209438789,0.79691354296048,0.990675171020163
"26",TRUE,"tree",1,200,0.963873515155368,0.8687012446036,0.999747851410001
"27",FALSE,"tree",10,200,0.906985221012661,0.793350412608207,0.98077040135104
"28",TRUE,"tree",10,200,0.943089672328902,0.818937528092228,0.998499656098711
"29",FALSE,"tree",100,200,0.72443296431747,0.567345057166093,0.859945178192145
"30",TRUE,"tree",100,200,0.891499809956509,0.770150405953104,0.973715139110484
"31",FALSE,"dirichlet",0.01,200,0.514007751011526,0.439113423438981,0.588635574268177
"32",TRUE,"dirichlet",0.01,200,0.81272190574892,0.71208506227898,0.897853867810948
