"","usingObserved","treeType","scale","counted","numWins"
"1",FALSE,"tree",0.01,100,53
"2",TRUE,"tree",0.01,100,54
"3",FALSE,"tree",0.1,100,46
"4",TRUE,"tree",0.1,100,63
"5",FALSE,"tree",1,100,54
"6",TRUE,"tree",1,100,52
"7",FALSE,"tree",10,100,45
"8",TRUE,"tree",10,100,44
"9",FALSE,"tree",100,100,45
"10",TRUE,"tree",100,100,47
"11",FALSE,"dirichlet",0.01,100,33
"12",TRUE,"dirichlet",0.01,100,47
"13",FALSE,"dirichlet",0.1,100,31
"14",TRUE,"dirichlet",0.1,100,52
"15",FALSE,"dirichlet",1,100,28
"16",TRUE,"dirichlet",1,100,41
"17",FALSE,"dirichlet",10,100,41
"18",TRUE,"dirichlet",10,100,42
"19",FALSE,"dirichlet",100,100,33
"20",TRUE,"dirichlet",100,100,39
"21",FALSE,"tree",0.01,200,91
"22",TRUE,"tree",0.01,200,93
"23",FALSE,"tree",0.1,200,89
"24",TRUE,"tree",0.1,200,98
"25",FALSE,"tree",1,200,89
"26",TRUE,"tree",1,200,95
"27",FALSE,"tree",10,200,89
"28",TRUE,"tree",10,200,97
"29",FALSE,"tree",100,200,75
"30",TRUE,"tree",100,200,92
"31",FALSE,"dirichlet",0.01,200,50
"32",TRUE,"dirichlet",0.01,200,76
"33",FALSE,"dirichlet",0.1,200,42
"34",TRUE,"dirichlet",0.1,200,75
"35",FALSE,"dirichlet",1,200,53
"36",TRUE,"dirichlet",1,200,75
"37",FALSE,"dirichlet",10,200,61
"38",TRUE,"dirichlet",10,200,80
"39",FALSE,"dirichlet",100,200,52
"40",TRUE,"dirichlet",100,200,72
"41",FALSE,"tree",0.01,300,99
"42",TRUE,"tree",0.01,300,100
"43",FALSE,"tree",0.1,300,97
"44",TRUE,"tree",0.1,300,100
"45",FALSE,"tree",1,300,98
"46",TRUE,"tree",1,300,100
"47",FALSE,"tree",10,300,98
"48",TRUE,"tree",10,300,100
"49",FALSE,"tree",100,300,93
"50",TRUE,"tree",100,300,98
"51",FALSE,"dirichlet",0.01,300,61
"52",TRUE,"dirichlet",0.01,300,96
"53",FALSE,"dirichlet",0.1,300,59
"54",TRUE,"dirichlet",0.1,300,97
"55",FALSE,"dirichlet",1,300,69
"56",TRUE,"dirichlet",1,300,93
"57",FALSE,"dirichlet",10,300,56
"58",TRUE,"dirichlet",10,300,97
"59",FALSE,"dirichlet",100,300,54
"60",TRUE,"dirichlet",100,300,94
"61",FALSE,"tree",0.01,400,99
"62",TRUE,"tree",0.01,400,100
"63",FALSE,"tree",0.1,400,100
"64",TRUE,"tree",0.1,400,100
"65",FALSE,"tree",1,400,100
"66",TRUE,"tree",1,400,100
"67",FALSE,"tree",10,400,100
"68",TRUE,"tree",10,400,100
"69",FALSE,"tree",100,400,95
"70",TRUE,"tree",100,400,100
"71",FALSE,"dirichlet",0.01,400,70
"72",TRUE,"dirichlet",0.01,400,100
"73",FALSE,"dirichlet",0.1,400,68
"74",TRUE,"dirichlet",0.1,400,100
"75",FALSE,"dirichlet",1,400,66
"76",TRUE,"dirichlet",1,400,100
"77",FALSE,"dirichlet",10,400,63
"78",TRUE,"dirichlet",10,400,100
"79",FALSE,"dirichlet",100,400,69
"80",TRUE,"dirichlet",100,400,100
"81",FALSE,"tree",0.01,500,98
"82",TRUE,"tree",0.01,500,100
"83",FALSE,"tree",0.1,500,98
"84",TRUE,"tree",0.1,500,100
"85",FALSE,"tree",1,500,99
"86",TRUE,"tree",1,500,100
"87",FALSE,"tree",10,500,98
"88",TRUE,"tree",10,500,100
"89",FALSE,"tree",100,500,93
"90",TRUE,"tree",100,500,100
"91",FALSE,"dirichlet",0.01,500,81
"92",TRUE,"dirichlet",0.01,500,99
"93",FALSE,"dirichlet",0.1,500,67
"94",TRUE,"dirichlet",0.1,500,98
"95",FALSE,"dirichlet",1,500,71
"96",TRUE,"dirichlet",1,500,99
"97",FALSE,"dirichlet",10,500,75
"98",TRUE,"dirichlet",10,500,100
"99",FALSE,"dirichlet",100,500,75
"100",TRUE,"dirichlet",100,500,100
"101",FALSE,"tree",0.01,600,99
"102",TRUE,"tree",0.01,600,100
"103",FALSE,"tree",0.1,600,100
"104",TRUE,"tree",0.1,600,100
"105",FALSE,"tree",1,600,99
"106",TRUE,"tree",1,600,100
"107",FALSE,"tree",10,600,99
"108",TRUE,"tree",10,600,100
"109",FALSE,"tree",100,600,98
"110",TRUE,"tree",100,600,100
"111",FALSE,"dirichlet",0.01,600,84
"112",TRUE,"dirichlet",0.01,600,100
"113",FALSE,"dirichlet",0.1,600,80
"114",TRUE,"dirichlet",0.1,600,100
"115",FALSE,"dirichlet",1,600,79
"116",TRUE,"dirichlet",1,600,100
"117",FALSE,"dirichlet",10,600,83
"118",TRUE,"dirichlet",10,600,100
"119",FALSE,"dirichlet",100,600,74
"120",TRUE,"dirichlet",100,600,100
"121",FALSE,"tree",0.01,700,99
"122",TRUE,"tree",0.01,700,100
"123",FALSE,"tree",0.1,700,99
"124",TRUE,"tree",0.1,700,100
"125",FALSE,"tree",1,700,100
"126",TRUE,"tree",1,700,100
"127",FALSE,"tree",10,700,100
"128",TRUE,"tree",10,700,100
"129",FALSE,"tree",100,700,98
"130",TRUE,"tree",100,700,100
"131",FALSE,"dirichlet",0.01,700,87
"132",TRUE,"dirichlet",0.01,700,100
"133",FALSE,"dirichlet",0.1,700,83
"134",TRUE,"dirichlet",0.1,700,100
"135",FALSE,"dirichlet",1,700,76
"136",TRUE,"dirichlet",1,700,100
"137",FALSE,"dirichlet",10,700,87
"138",TRUE,"dirichlet",10,700,100
"139",FALSE,"dirichlet",100,700,72
"140",TRUE,"dirichlet",100,700,100
"141",FALSE,"tree",0.01,800,100
"142",TRUE,"tree",0.01,800,100
"143",FALSE,"tree",0.1,800,100
"144",TRUE,"tree",0.1,800,100
"145",FALSE,"tree",1,800,100
"146",TRUE,"tree",1,800,100
"147",FALSE,"tree",10,800,100
"148",TRUE,"tree",10,800,100
"149",FALSE,"tree",100,800,100
"150",TRUE,"tree",100,800,100
"151",FALSE,"dirichlet",0.01,800,87
