"","repno","usingObserved","treeType","scale","counted","wincount.1","wincount.2","wincount.3","wincount.4","wincount.5","wincount.6","wincount.7","wincount.8","wincount.9","wincount.10"
"63",1,FALSE,"dirichlet",10,400,51,52,57,38,44,42,70,36,62,48
"64",1,TRUE,"dirichlet",10,400,0,0,0,0,0,497,0,3,0,0
"65",1,FALSE,"dtree",0.00999999977648258,500,0,0,3,1,0,494,0,2,0,0
"66",1,TRUE,"dtree",0.00999999977648258,500,0,0,0,0,0,500,0,0,0,0
"67",1,FALSE,"dtree",0.100000001490116,500,0,0,2,0,0,495,0,3,0,0
"68",1,TRUE,"dtree",0.100000001490116,500,0,0,0,0,0,500,0,0,0,0
"69",1,FALSE,"dtree",1,500,0,0,1,0,0,498,0,1,0,0
"70",1,TRUE,"dtree",1,500,0,0,0,0,0,500,0,0,0,0
"71",1,FALSE,"dtree",10,500,0,0,1,0,0,497,0,1,1,0
"72",1,TRUE,"dtree",10,500,0,0,0,0,0,500,0,0,0,0
"73",1,FALSE,"dirichlet",0.00999999977648258,500,45,48,51,48,49,59,49,45,52,54
"74",1,TRUE,"dirichlet",0.00999999977648258,500,0,0,1,0,0,499,0,0,0,0
"75",1,FALSE,"dirichlet",0.100000001490116,500,50,47,49,47,41,56,42,41,70,57
"76",1,TRUE,"dirichlet",0.100000001490116,500,0,0,2,0,0,498,0,0,0,0
"77",1,FALSE,"dirichlet",1,500,52,41,42,50,50,59,57,49,46,54
"78",1,TRUE,"dirichlet",1,500,0,0,2,0,0,498,0,0,0,0
"79",1,FALSE,"dirichlet",10,500,43,51,44,52,53,43,59,48,57,50
"80",1,TRUE,"dirichlet",10,500,0,0,0,0,0,500,0,0,0,0
"81",1,FALSE,"dtree",0.00999999977648258,600,0,0,7,0,0,484,0,9,0,0
"82",1,TRUE,"dtree",0.00999999977648258,600,0,0,0,0,0,500,0,0,0,0
"83",1,FALSE,"dtree",0.100000001490116,600,0,0,1,0,0,493,0,6,0,0
"84",1,TRUE,"dtree",0.100000001490116,600,0,0,0,0,0,500,0,0,0,0
"85",1,FALSE,"dtree",1,600,0,0,0,0,0,497,0,3,0,0
"86",1,TRUE,"dtree",1,600,0,0,0,0,0,500,0,0,0,0
"87",1,FALSE,"dtree",10,600,0,0,0,0,0,495,0,5,0,0
"88",1,TRUE,"dtree",10,600,0,0,0,0,0,500,0,0,0,0
"89",1,FALSE,"dirichlet",0.00999999977648258,600,52,40,47,50,49,45,48,37,68,64
"90",1,TRUE,"dirichlet",0.00999999977648258,600,0,0,0,0,0,500,0,0,0,0
"91",1,FALSE,"dirichlet",0.100000001490116,600,55,48,49,44,58,52,51,52,48,43
"92",1,TRUE,"dirichlet",0.100000001490116,600,0,0,0,0,0,500,0,0,0,0
"93",1,FALSE,"dirichlet",1,600,47,56,47,56,43,58,44,49,57,43
"94",1,TRUE,"dirichlet",1,600,0,0,0,0,0,500,0,0,0,0
"95",1,FALSE,"dirichlet",10,600,50,56,50,43,53,42,50,53,48,55
"96",1,TRUE,"dirichlet",10,600,0,0,0,0,0,499,0,1,0,0
"97",1,FALSE,"dtree",0.00999999977648258,700,0,0,2,0,0,493,0,5,0,0
"98",1,TRUE,"dtree",0.00999999977648258,700,0,0,0,0,0,500,0,0,0,0
"99",1,FALSE,"dtree",0.100000001490116,700,0,0,2,0,0,497,0,1,0,0
"100",1,TRUE,"dtree",0.100000001490116,700,0,0,0,0,0,500,0,0,0,0
"101",1,FALSE,"dtree",1,700,0,0,0,0,0,499,0,1,0,0
"102",1,TRUE,"dtree",1,700,0,0,0,0,0,500,0,0,0,0
"103",1,FALSE,"dtree",10,700,0,0,0,0,0,497,0,3,0,0
"104",1,TRUE,"dtree",10,700,0,0,0,0,0,500,0,0,0,0
"105",1,FALSE,"dirichlet",0.00999999977648258,700,54,47,43,47,50,58,39,45,58,59
"106",1,TRUE,"dirichlet",0.00999999977648258,700,0,0,0,0,0,500,0,0,0,0
"107",1,FALSE,"dirichlet",0.100000001490116,700,47,41,47,39,42,62,56,53,49,64
"108",1,TRUE,"dirichlet",0.100000001490116,700,0,0,0,0,0,500,0,0,0,0
"109",1,FALSE,"dirichlet",1,700,49,49,48,46,55,56,54,45,56,42
"110",1,TRUE,"dirichlet",1,700,0,0,0,0,0,500,0,0,0,0
"111",1,FALSE,"dirichlet",10,700,42,53,48,50,43,51,47,40,67,59
"112",1,TRUE,"dirichlet",10,700,0,0,0,0,0,500,0,0,0,0
"113",1,FALSE,"dtree",0.00999999977648258,800,0,0,0,0,0,499,0,1,0,0
"114",1,TRUE,"dtree",0.00999999977648258,800,0,0,0,0,0,500,0,0,0,0
"115",1,FALSE,"dtree",0.100000001490116,800,0,0,1,0,0,498,0,1,0,0
"116",1,TRUE,"dtree",0.100000001490116,800,0,0,0,0,0,500,0,0,0,0
"117",1,FALSE,"dtree",1,800,0,0,1,0,0,499,0,0,0,0
"118",1,TRUE,"dtree",1,800,0,0,0,0,0,500,0,0,0,0
"119",1,FALSE,"dtree",10,800,0,0,1,0,0,499,0,0,0,0
"120",1,TRUE,"dtree",10,800,0,0,0,0,0,500,0,0,0,0
"121",1,FALSE,"dirichlet",0.00999999977648258,800,50,46,56,51,45,53,48,38,64,49
"122",1,TRUE,"dirichlet",0.00999999977648258,800,0,0,0,0,0,500,0,0,0,0
"123",1,FALSE,"dirichlet",0.100000001490116,800,42,58,46,44,60,41,50,50,52,57
"124",1,TRUE,"dirichlet",0.100000001490116,800,0,0,0,0,0,500,0,0,0,0
"125",1,FALSE,"dirichlet",1,800,41,58,49,47,61,45,41,43,55,60
"126",1,TRUE,"dirichlet",1,800,0,0,0,0,0,500,0,0,0,0
"127",1,FALSE,"dirichlet",10,800,49,38,43,57,70,45,51,56,45,46
"128",1,TRUE,"dirichlet",10,800,0,0,0,0,0,500,0,0,0,0
"129",1,FALSE,"dtree",0.00999999977648258,900,0,0,0,0,0,498,0,2,0,0
"130",1,TRUE,"dtree",0.00999999977648258,900,0,0,0,0,0,500,0,0,0,0
"131",1,FALSE,"dtree",0.100000001490116,900,0,0,1,0,0,497,0,2,0,0
"132",1,TRUE,"dtree",0.100000001490116,900,0,0,0,0,0,500,0,0,0,0
"133",1,FALSE,"dtree",1,900,0,0,1,0,0,499,0,0,0,0
"134",1,TRUE,"dtree",1,900,0,0,0,0,0,500,0,0,0,0
"135",1,FALSE,"dtree",10,900,0,0,0,0,0,500,0,0,0,0
"136",1,TRUE,"dtree",10,900,0,0,0,0,0,500,0,0,0,0
"137",1,FALSE,"dirichlet",0.00999999977648258,900,35,55,62,39,59,52,49,52,52,45
"138",1,TRUE,"dirichlet",0.00999999977648258,900,0,0,0,0,0,500,0,0,0,0
"139",1,FALSE,"dirichlet",0.100000001490116,900,45,48,49,43,43,60,59,59,44,50
"140",1,TRUE,"dirichlet",0.100000001490116,900,0,0,0,0,0,500,0,0,0,0
"141",1,FALSE,"dirichlet",1,900,30,55,49,63,50,51,50,54,43,55
"142",1,TRUE,"dirichlet",1,900,0,0,0,0,0,500,0,0,0,0
"143",1,FALSE,"dirichlet",10,900,47,38,63,41,51,68,44,51,51,46
"144",1,TRUE,"dirichlet",10,900,0,0,0,0,0,500,0,0,0,0
"145",1,FALSE,"dtree",0.00999999977648258,1000,0,0,2,0,0,498,0,0,0,0
"146",1,TRUE,"dtree",0.00999999977648258,1000,0,0,0,0,0,500,0,0,0,0
"147",1,FALSE,"dtree",0.100000001490116,1000,0,0,2,0,0,497,0,0,1,0
"148",1,TRUE,"dtree",0.100000001490116,1000,0,0,0,0,0,500,0,0,0,0
"149",1,FALSE,"dtree",1,1000,0,0,0,0,0,499,0,1,0,0
"150",1,TRUE,"dtree",1,1000,0,0,0,0,0,500,0,0,0,0
"151",1,FALSE,"dtree",10,1000,0,0,0,0,0,500,0,0,0,0
"152",1,TRUE,"dtree",10,1000,0,0,0,0,0,500,0,0,0,0
"153",1,FALSE,"dirichlet",0.00999999977648258,1000,58,49,44,51,39,72,43,33,57,54
"154",1,TRUE,"dirichlet",0.00999999977648258,1000,0,0,0,0,0,500,0,0,0,0
"155",1,FALSE,"dirichlet",0.100000001490116,1000,44,57,51,49,51,55,53,38,54,48
"156",1,TRUE,"dirichlet",0.100000001490116,1000,0,0,0,0,0,500,0,0,0,0
"157",1,FALSE,"dirichlet",1,1000,47,57,57,40,64,47,37,53,47,51
"158",1,TRUE,"dirichlet",1,1000,0,0,0,0,0,500,0,0,0,0
"159",1,FALSE,"dirichlet",10,1000,35,59,51,53,50,56,45,47,54,50
"160",1,TRUE,"dirichlet",10,1000,0,0,0,0,0,500,0,0,0,0
"161",2,FALSE,"dtree",0.00999999977648258,100,0,0,15,25,0,406,0,43,6,5
"162",2,TRUE,"dtree",0.00999999977648258,100,0,0,18,29,0,395,0,48,3,7
"163",2,FALSE,"dtree",0.100000001490116,100,0,0,12,29,0,422,0,29,3,5
"164",2,TRUE,"dtree",0.100000001490116,100,0,0,15,13,0,441,0,26,2,3
"165",2,FALSE,"dtree",1,100,0,0,15,15,0,444,0,14,9,3
"166",2,TRUE,"dtree",1,100,0,0,8,13,0,472,0,4,3,0
"167",2,FALSE,"dtree",10,100,2,2,21,33,0,408,1,15,13,5
