"","usingObserved","treeType","scale","counted","numWins"
"119",FALSE,"Dirichlet",3,200,1
"120",TRUE,"Dirichlet",3,200,1
"121",FALSE,"Dirichlet Tree",1,220,0
"122",TRUE,"Dirichlet Tree",1,220,3
"123",FALSE,"Dirichlet Tree",2,220,3
"124",TRUE,"Dirichlet Tree",2,220,5
"125",FALSE,"Dirichlet Tree",3,220,3
"126",TRUE,"Dirichlet Tree",3,220,5
"127",FALSE,"Dirichlet",1,220,4
"128",TRUE,"Dirichlet",1,220,2
"129",FALSE,"Dirichlet",2,220,0
"130",TRUE,"Dirichlet",2,220,3
"131",FALSE,"Dirichlet",3,220,2
"132",TRUE,"Dirichlet",3,220,3
"133",FALSE,"Dirichlet Tree",1,240,3
"134",TRUE,"Dirichlet Tree",1,240,0
"135",FALSE,"Dirichlet Tree",2,240,0
"136",TRUE,"Dirichlet Tree",2,240,2
"137",FALSE,"Dirichlet Tree",3,240,5
"138",TRUE,"Dirichlet Tree",3,240,4
"139",FALSE,"Dirichlet",1,240,0
"140",TRUE,"Dirichlet",1,240,2
"141",FALSE,"Dirichlet",2,240,2
"142",TRUE,"Dirichlet",2,240,1
"143",FALSE,"Dirichlet",3,240,1
"144",TRUE,"Dirichlet",3,240,1
"145",FALSE,"Dirichlet Tree",1,260,0
"146",TRUE,"Dirichlet Tree",1,260,1
"147",FALSE,"Dirichlet Tree",2,260,1
"148",TRUE,"Dirichlet Tree",2,260,0
"149",FALSE,"Dirichlet Tree",3,260,2
"150",TRUE,"Dirichlet Tree",3,260,2
"151",FALSE,"Dirichlet",1,260,1
"152",TRUE,"Dirichlet",1,260,0
"153",FALSE,"Dirichlet",2,260,0
"154",TRUE,"Dirichlet",2,260,1
"155",FALSE,"Dirichlet",3,260,1
"156",TRUE,"Dirichlet",3,260,0
"157",FALSE,"Dirichlet Tree",1,280,1
"158",TRUE,"Dirichlet Tree",1,280,2
"159",FALSE,"Dirichlet Tree",2,280,2
"160",TRUE,"Dirichlet Tree",2,280,2
"161",FALSE,"Dirichlet Tree",3,280,2
"162",TRUE,"Dirichlet Tree",3,280,2
"163",FALSE,"Dirichlet",1,280,1
"164",TRUE,"Dirichlet",1,280,3
"165",FALSE,"Dirichlet",2,280,1
"166",TRUE,"Dirichlet",2,280,3
"167",FALSE,"Dirichlet",3,280,1
"168",TRUE,"Dirichlet",3,280,0
"169",FALSE,"Dirichlet Tree",1,300,1
"170",TRUE,"Dirichlet Tree",1,300,1
"171",FALSE,"Dirichlet Tree",2,300,4
"172",TRUE,"Dirichlet Tree",2,300,0
"173",FALSE,"Dirichlet Tree",3,300,2
"174",TRUE,"Dirichlet Tree",3,300,3
"175",FALSE,"Dirichlet",1,300,3
"176",TRUE,"Dirichlet",1,300,1
"177",FALSE,"Dirichlet",2,300,0
"178",TRUE,"Dirichlet",2,300,3
"179",FALSE,"Dirichlet",3,300,1
"180",TRUE,"Dirichlet",3,300,1
"181",FALSE,"Dirichlet Tree",1,320,2
"182",TRUE,"Dirichlet Tree",1,320,3
"183",FALSE,"Dirichlet Tree",2,320,5
"184",TRUE,"Dirichlet Tree",2,320,1
"185",FALSE,"Dirichlet Tree",3,320,5
"186",TRUE,"Dirichlet Tree",3,320,5
"187",FALSE,"Dirichlet",1,320,3
"188",TRUE,"Dirichlet",1,320,2
"189",FALSE,"Dirichlet",2,320,1
"190",TRUE,"Dirichlet",2,320,2
"191",FALSE,"Dirichlet",3,320,0
"192",TRUE,"Dirichlet",3,320,4
"193",FALSE,"Dirichlet Tree",1,340,3
"194",TRUE,"Dirichlet Tree",1,340,2
"195",FALSE,"Dirichlet Tree",2,340,4
"196",TRUE,"Dirichlet Tree",2,340,2
"197",FALSE,"Dirichlet Tree",3,340,4
"198",TRUE,"Dirichlet Tree",3,340,2
"199",FALSE,"Dirichlet",1,340,0
"200",TRUE,"Dirichlet",1,340,1
"201",FALSE,"Dirichlet",2,340,2
"202",TRUE,"Dirichlet",2,340,2
"203",FALSE,"Dirichlet",3,340,2
"204",TRUE,"Dirichlet",3,340,3
"205",FALSE,"Dirichlet Tree",1,360,3
"206",TRUE,"Dirichlet Tree",1,360,1
"207",FALSE,"Dirichlet Tree",2,360,3
"208",TRUE,"Dirichlet Tree",2,360,3
"209",FALSE,"Dirichlet Tree",3,360,6
"210",TRUE,"Dirichlet Tree",3,360,4
"211",FALSE,"Dirichlet",1,360,4
"212",TRUE,"Dirichlet",1,360,1
"213",FALSE,"Dirichlet",2,360,2
"214",TRUE,"Dirichlet",2,360,3
"215",FALSE,"Dirichlet",3,360,0
"216",TRUE,"Dirichlet",3,360,2
"217",FALSE,"Dirichlet Tree",1,380,1
"218",TRUE,"Dirichlet Tree",1,380,1
"219",FALSE,"Dirichlet Tree",2,380,0
"220",TRUE,"Dirichlet Tree",2,380,3
"221",FALSE,"Dirichlet Tree",3,380,5
"222",TRUE,"Dirichlet Tree",3,380,7
"223",FALSE,"Dirichlet",1,380,3
"224",TRUE,"Dirichlet",1,380,0
"225",FALSE,"Dirichlet",2,380,1
"226",TRUE,"Dirichlet",2,380,3
"227",FALSE,"Dirichlet",3,380,2
"228",TRUE,"Dirichlet",3,380,2
"229",FALSE,"Dirichlet Tree",1,400,3
"230",TRUE,"Dirichlet Tree",1,400,1
"231",FALSE,"Dirichlet Tree",2,400,1
"232",TRUE,"Dirichlet Tree",2,400,1
"233",FALSE,"Dirichlet Tree",3,400,5
"234",TRUE,"Dirichlet Tree",3,400,3
"235",FALSE,"Dirichlet",1,400,2
"236",TRUE,"Dirichlet",1,400,2
"237",FALSE,"Dirichlet",2,400,3
