"","usingObserved","treeType","scale","counted","mean","median","pi.lower","pi.upper"
"1",FALSE,"Dirichlet Tree","0",20,0.189900820617052,0.18068196920211,0.0744127967350778,0.337015710882977
"2",TRUE,"Dirichlet Tree","0",20,0.240034637271686,0.239560650637238,0.204180089808557,0.277506642220311
"3",FALSE,"Dirichlet Tree","1",20,0.259383203856537,0.250839090820992,0.113917362128411,0.434179179880181
"4",TRUE,"Dirichlet Tree","1",20,0.229974321903509,0.229972006245504,0.227495735586147,0.232460807146681
"5",FALSE,"Dirichlet Tree","10",20,0.239913430217241,0.236942413317522,0.154228421066218,0.335757057721401
"6",TRUE,"Dirichlet Tree","10",20,0.179028185312097,0.162689670691826,0.0435867465209771,0.370661812169889
"7",FALSE,"Dirichlet","0",20,0.200158349542432,0.200152471126819,0.196599467569784,0.203737283391114
"8",TRUE,"Dirichlet","0",20,0.269935698165893,0.267462233884468,0.182503804499359,0.36582356797521
"9",FALSE,"Dirichlet","1",20,0.0698753018640463,0.0698704122118731,0.0681520918831644,0.0716151909301013
"10",TRUE,"Dirichlet","1",20,0.0600079249281467,0.0600054443509976,0.05887613454104,0.0611481767946168
"11",FALSE,"Dirichlet","10",20,0.129985123171929,0.122811534865004,0.0507307840115669,0.233814114707364
"12",TRUE,"Dirichlet","10",20,0.139994549425697,0.13882568526057,0.102355134081565,0.181624168002204
"13",FALSE,"Dirichlet Tree","0",40,0.130038406147391,0.130034730384157,0.127908940524793,0.132180410148712
"14",TRUE,"Dirichlet Tree","0",40,0.169945015435229,0.162354581494943,0.0716478473502634,0.29425625575349
"15",FALSE,"Dirichlet Tree","1",40,0.149791182655538,0.139912474950134,0.0506879525244398,0.282783365296622
"16",TRUE,"Dirichlet Tree","1",40,0.229799389225096,0.22569271786783,0.134150623729895,0.339500248821172
"17",FALSE,"Dirichlet Tree","10",40,0.257951073363444,0.236454379626759,0.0555382752643365,0.53439712016602
"18",TRUE,"Dirichlet Tree","10",40,0.18989392965832,0.189892747261227,0.188353095950102,0.191438796629311
"19",FALSE,"Dirichlet","0",40,0.189766492110009,0.17369976930898,0.0485721658001688,0.386221916883656
"20",TRUE,"Dirichlet","0",40,0.220001381258061,0.217023680576446,0.14010256188693,0.310080364696328
"21",FALSE,"Dirichlet","1",40,0.0497891714937296,0.0223034110913292,0.000127319395817053,0.193033005924204
"22",TRUE,"Dirichlet","1",40,0.109976686281069,0.109969977952442,0.107374326734775,0.112601928621085
"23",FALSE,"Dirichlet","10",40,0.0704834025034307,0.0704833936117087,0.0704092272482555,0.0705576080890427
"24",TRUE,"Dirichlet","10",40,0.110098677159225,0.102707391124364,0.0387187150009016,0.206800627863458
"25",FALSE,"Dirichlet Tree","0",60,0.280009671312832,0.278936976679902,0.219006129566956,0.344676058917424
"26",TRUE,"Dirichlet Tree","0",60,0.240000020039231,0.239833919077872,0.218552895659092,0.262013809247627
"27",FALSE,"Dirichlet Tree","1",60,0.335544440356422,0.302358799796337,0.0370036054346261,0.746487340314447
"28",TRUE,"Dirichlet Tree","1",60,0.300000932679917,0.299301774731946,0.246809523165583,0.355579001876486
"29",FALSE,"Dirichlet Tree","10",60,0.300007964217443,0.300002236701269,0.295077474250656,0.304957991360577
"30",TRUE,"Dirichlet Tree","10",60,0.390680074473049,0.386098895140242,0.205226461170893,0.591869625950434
"31",FALSE,"Dirichlet","0",60,0.300009092614032,0.300005842725661,0.296293221032732,0.303736049885938
"32",TRUE,"Dirichlet","0",60,0.239997649104546,0.23977428444916,0.215185805020942,0.265571553977537
"33",FALSE,"Dirichlet","1",60,0.0700185290197934,0.0629289229777777,0.0186620288290572,0.145661704374539
"34",TRUE,"Dirichlet","1",60,0.12004190927773,0.112455417010434,0.043469798365084,0.22260776673545
"35",FALSE,"Dirichlet","10",60,0.139829204561796,0.139824417576846,0.1372903499814,0.142384388016786
"36",TRUE,"Dirichlet","10",60,0.100007504879825,0.100006455208103,0.0990302396839823,0.100988350599628
"37",FALSE,"Dirichlet Tree","0",80,0.3289050212708,0.313700567898629,0.0963476024624935,0.613839085131703
"38",TRUE,"Dirichlet Tree","0",80,0.32359938041437,0.303594720479816,0.0735989000423318,0.64245263825789
"39",FALSE,"Dirichlet Tree","1",80,0.406605194878922,0.396044626840492,0.125179165126818,0.724392549113462
"40",TRUE,"Dirichlet Tree","1",80,0.423397695508475,0.412730921237439,0.114793979110224,0.768647772180736
"41",FALSE,"Dirichlet Tree","10",80,0.249025320700209,0.240126870541316,0.106510807249372,0.422086875353492
"42",TRUE,"Dirichlet Tree","10",80,0.329901452994607,0.328408920552791,0.244506751498716,0.420396471308395
"43",FALSE,"Dirichlet","0",80,0.330802146079525,0.315195575061651,0.0944857368345989,0.620879667779571
"44",TRUE,"Dirichlet","0",80,0.265527494802446,0.23110454434556,0.0297354533088691,0.619180086645971
