"","repno","usingObserved","treeType","scale","counted","wincount.1","wincount.2","wincount.3","wincount.4","wincount.5","wincount.6","wincount.7","wincount.8","wincount.9","wincount.10"
"45",1,FALSE,"dirichlet",10,300,10,12,9,5,10,11,12,17,9,5
"46",1,TRUE,"dirichlet",10,300,0,1,18,2,0,62,0,12,5,0
"47",1,FALSE,"dirichlet",100,300,13,9,8,10,6,13,6,9,22,4
"48",1,TRUE,"dirichlet",100,300,0,1,21,1,0,62,0,12,3,0
"49",1,FALSE,"dtree",0.100000001490116,400,0,0,4,0,0,92,0,3,1,0
"50",1,TRUE,"dtree",0.100000001490116,400,0,0,0,0,0,98,0,2,0,0
"51",1,FALSE,"dtree",1,400,0,0,2,0,0,92,0,6,0,0
"52",1,TRUE,"dtree",1,400,0,0,0,0,0,98,0,2,0,0
"53",1,FALSE,"dtree",10,400,0,0,0,0,0,95,0,5,0,0
"54",1,TRUE,"dtree",10,400,0,0,1,0,0,98,0,1,0,0
"55",1,FALSE,"dtree",100,400,0,0,11,4,0,66,0,13,6,0
"56",1,TRUE,"dtree",100,400,0,0,0,0,0,98,0,2,0,0
"57",1,FALSE,"dirichlet",0.100000001490116,400,6,15,9,11,10,8,8,7,17,9
"58",1,TRUE,"dirichlet",0.100000001490116,400,0,0,5,0,0,90,0,4,1,0
"59",1,FALSE,"dirichlet",1,400,12,9,8,9,11,9,12,9,11,10
"60",1,TRUE,"dirichlet",1,400,0,1,0,1,0,91,0,7,0,0
"61",1,FALSE,"dirichlet",10,400,3,11,7,8,12,11,11,15,7,15
"62",1,TRUE,"dirichlet",10,400,0,0,4,0,0,94,0,2,0,0
"63",1,FALSE,"dirichlet",100,400,13,8,10,7,10,11,12,9,11,9
"64",1,TRUE,"dirichlet",100,400,0,0,2,0,0,92,0,4,2,0
"65",1,FALSE,"dtree",0.100000001490116,500,0,0,5,0,0,94,0,1,0,0
"66",1,TRUE,"dtree",0.100000001490116,500,0,0,0,0,0,100,0,0,0,0
"67",1,FALSE,"dtree",1,500,0,0,1,0,0,97,0,1,1,0
"68",1,TRUE,"dtree",1,500,0,0,0,0,0,100,0,0,0,0
"69",1,FALSE,"dtree",10,500,0,0,1,0,0,99,0,0,0,0
"70",1,TRUE,"dtree",10,500,0,0,0,0,0,100,0,0,0,0
"71",1,FALSE,"dtree",100,500,0,0,8,0,0,85,0,4,3,0
"72",1,TRUE,"dtree",100,500,0,0,0,0,0,100,0,0,0,0
"73",1,FALSE,"dirichlet",0.100000001490116,500,8,10,7,10,14,13,11,8,8,11
"74",1,TRUE,"dirichlet",0.100000001490116,500,0,0,1,0,0,99,0,0,0,0
"75",1,FALSE,"dirichlet",1,500,14,11,12,14,8,9,13,3,10,6
"76",1,TRUE,"dirichlet",1,500,0,0,1,0,0,99,0,0,0,0
"77",1,FALSE,"dirichlet",10,500,9,8,6,14,12,11,8,12,8,12
"78",1,TRUE,"dirichlet",10,500,0,0,0,0,0,100,0,0,0,0
"79",1,FALSE,"dirichlet",100,500,11,6,8,8,8,11,13,9,15,11
"80",1,TRUE,"dirichlet",100,500,0,0,0,0,0,98,0,2,0,0
"81",1,FALSE,"dtree",0.100000001490116,600,0,0,0,0,0,96,0,3,1,0
"82",1,TRUE,"dtree",0.100000001490116,600,0,0,0,0,0,100,0,0,0,0
"83",1,FALSE,"dtree",1,600,0,0,0,0,0,99,0,1,0,0
"84",1,TRUE,"dtree",1,600,0,0,0,0,0,100,0,0,0,0
"85",1,FALSE,"dtree",10,600,0,0,0,0,0,100,0,0,0,0
"86",1,TRUE,"dtree",10,600,0,0,0,0,0,100,0,0,0,0
"87",1,FALSE,"dtree",100,600,0,0,4,1,0,85,0,5,5,0
"88",1,TRUE,"dtree",100,600,0,0,0,0,0,100,0,0,0,0
"89",1,FALSE,"dirichlet",0.100000001490116,600,9,8,10,12,7,7,12,8,13,14
"90",1,TRUE,"dirichlet",0.100000001490116,600,0,0,0,0,0,100,0,0,0,0
"91",1,FALSE,"dirichlet",1,600,16,11,8,9,7,9,9,8,12,11
"92",1,TRUE,"dirichlet",1,600,0,0,0,0,0,100,0,0,0,0
"93",1,FALSE,"dirichlet",10,600,9,7,9,1,10,10,17,9,13,15
"94",1,TRUE,"dirichlet",10,600,0,0,0,0,0,100,0,0,0,0
"95",1,FALSE,"dirichlet",100,600,5,13,12,9,10,11,8,9,10,13
"96",1,TRUE,"dirichlet",100,600,0,0,0,0,0,99,0,1,0,0
"97",1,FALSE,"dtree",0.100000001490116,700,0,0,0,0,0,99,0,1,0,0
"98",1,TRUE,"dtree",0.100000001490116,700,0,0,0,0,0,100,0,0,0,0
"99",1,FALSE,"dtree",1,700,0,0,0,0,0,98,0,2,0,0
"100",1,TRUE,"dtree",1,700,0,0,0,0,0,100,0,0,0,0
"101",1,FALSE,"dtree",10,700,0,0,0,0,0,100,0,0,0,0
"102",1,TRUE,"dtree",10,700,0,0,0,0,0,100,0,0,0,0
"103",1,FALSE,"dtree",100,700,0,0,0,1,0,93,0,3,3,0
"104",1,TRUE,"dtree",100,700,0,0,0,0,0,100,0,0,0,0
"105",1,FALSE,"dirichlet",0.100000001490116,700,12,10,12,9,9,10,9,6,13,10
"106",1,TRUE,"dirichlet",0.100000001490116,700,0,0,0,0,0,100,0,0,0,0
