"","repno","usingObserved","treeType","scale","counted","wincount.1","wincount.2","wincount.3","wincount.4","wincount.5"
"88",1,TRUE,"dtree",100,60,1,2,9,6,7
"89",1,FALSE,"dirichlet",0.100000001490116,60,0,1,16,7,1
"90",1,TRUE,"dirichlet",0.100000001490116,60,2,0,16,2,5
"91",1,FALSE,"dirichlet",1,60,5,1,10,3,6
"92",1,TRUE,"dirichlet",1,60,1,1,11,7,5
"93",1,FALSE,"dirichlet",10,60,3,4,7,6,5
"94",1,TRUE,"dirichlet",10,60,2,1,8,7,7
"95",1,FALSE,"dirichlet",100,60,4,8,6,5,2
"96",1,TRUE,"dirichlet",100,60,1,3,6,4,11
"97",1,FALSE,"dtree",0.100000001490116,70,0,0,22,3,0
"98",1,TRUE,"dtree",0.100000001490116,70,0,0,21,3,1
"99",1,FALSE,"dtree",1,70,0,0,22,0,3
"100",1,TRUE,"dtree",1,70,0,0,23,2,0
"101",1,FALSE,"dtree",10,70,0,0,17,5,3
"102",1,TRUE,"dtree",10,70,0,0,24,0,1
"103",1,FALSE,"dtree",100,70,3,3,8,7,4
"104",1,TRUE,"dtree",100,70,1,2,14,6,2
"105",1,FALSE,"dirichlet",0.100000001490116,70,0,0,13,7,5
"106",1,TRUE,"dirichlet",0.100000001490116,70,0,0,21,3,1
"107",1,FALSE,"dirichlet",1,70,4,3,12,3,3
"108",1,TRUE,"dirichlet",1,70,1,2,13,5,4
"109",1,FALSE,"dirichlet",10,70,3,5,3,7,7
"110",1,TRUE,"dirichlet",10,70,2,1,8,8,6
"111",1,FALSE,"dirichlet",100,70,5,4,3,5,8
"112",1,TRUE,"dirichlet",100,70,2,1,11,6,5
"113",1,FALSE,"dtree",0.100000001490116,80,0,0,21,2,2
"114",1,TRUE,"dtree",0.100000001490116,80,0,0,24,1,0
"115",1,FALSE,"dtree",1,80,0,0,17,2,6
"116",1,TRUE,"dtree",1,80,0,0,21,2,2
"117",1,FALSE,"dtree",10,80,0,0,18,3,4
"118",1,TRUE,"dtree",10,80,0,0,17,2,6
"119",1,FALSE,"dtree",100,80,1,3,6,11,4
"120",1,TRUE,"dtree",100,80,0,0,12,7,6
"121",1,FALSE,"dirichlet",0.100000001490116,80,0,1,17,4,3
"122",1,TRUE,"dirichlet",0.100000001490116,80,0,0,19,1,5
"123",1,FALSE,"dirichlet",1,80,0,7,9,5,4
"124",1,TRUE,"dirichlet",1,80,0,3,9,8,5
"125",1,FALSE,"dirichlet",10,80,6,3,7,1,8
"126",1,TRUE,"dirichlet",10,80,0,1,13,8,3
"127",1,FALSE,"dirichlet",100,80,10,2,5,4,4
"128",1,TRUE,"dirichlet",100,80,3,2,10,4,6
"129",1,FALSE,"dtree",0.100000001490116,90,0,0,22,1,2
"130",1,TRUE,"dtree",0.100000001490116,90,0,0,24,0,1
"131",1,FALSE,"dtree",1,90,0,1,18,3,3
"132",1,TRUE,"dtree",1,90,0,0,21,3,1
"133",1,FALSE,"dtree",10,90,0,0,19,4,2
"134",1,TRUE,"dtree",10,90,0,0,18,7,0
"135",1,FALSE,"dtree",100,90,1,2,15,6,1
"136",1,TRUE,"dtree",100,90,2,0,13,8,2
"137",1,FALSE,"dirichlet",0.100000001490116,90,0,1,16,5,3
"138",1,TRUE,"dirichlet",0.100000001490116,90,0,0,21,4,0
"139",1,FALSE,"dirichlet",1,90,3,2,13,4,3
"140",1,TRUE,"dirichlet",1,90,1,2,14,4,4
"141",1,FALSE,"dirichlet",10,90,3,7,4,6,5
"142",1,TRUE,"dirichlet",10,90,1,2,13,5,4
"143",1,FALSE,"dirichlet",100,90,6,6,3,3,7
"144",1,TRUE,"dirichlet",100,90,3,1,9,7,5
"145",1,FALSE,"dtree",0.100000001490116,100,0,0,24,1,0
"146",1,TRUE,"dtree",0.100000001490116,100,0,0,24,1,0
"147",1,FALSE,"dtree",1,100,0,0,23,1,1
"148",1,TRUE,"dtree",1,100,0,0,25,0,0
"149",1,FALSE,"dtree",10,100,0,0,24,0,1
"150",1,TRUE,"dtree",10,100,0,0,24,0,1
"151",1,FALSE,"dtree",100,100,0,3,18,3,1
"152",1,TRUE,"dtree",100,100,0,0,19,5,1
"153",1,FALSE,"dirichlet",0.100000001490116,100,0,0,22,0,3
"154",1,TRUE,"dirichlet",0.100000001490116,100,0,0,24,0,1
"155",1,FALSE,"dirichlet",1,100,1,2,15,4,3
"156",1,TRUE,"dirichlet",1,100,0,0,17,8,0
"157",1,FALSE,"dirichlet",10,100,5,5,5,4,6
"158",1,TRUE,"dirichlet",10,100,2,2,13,6,2
"159",1,FALSE,"dirichlet",100,100,6,3,1,6,9
"160",1,TRUE,"dirichlet",100,100,0,1,16,5,3
"161",1,FALSE,"dtree",0.100000001490116,110,0,0,24,1,0
"162",1,TRUE,"dtree",0.100000001490116,110,0,0,23,2,0
"163",1,FALSE,"dtree",1,110,0,0,25,0,0
"164",1,TRUE,"dtree",1,110,0,0,25,0,0
"165",1,FALSE,"dtree",10,110,0,0,24,1,0
"166",1,TRUE,"dtree",10,110,0,0,25,0,0
"167",1,FALSE,"dtree",100,110,1,2,15,6,1
"168",1,TRUE,"dtree",100,110,0,0,24,0,1
"169",1,FALSE,"dirichlet",0.100000001490116,110,0,0,25,0,0
"170",1,TRUE,"dirichlet",0.100000001490116,110,0,0,24,1,0
"171",1,FALSE,"dirichlet",1,110,1,2,14,2,6
"172",1,TRUE,"dirichlet",1,110,0,0,20,2,3
"173",1,FALSE,"dirichlet",10,110,3,5,11,4,2
"174",1,TRUE,"dirichlet",10,110,0,1,21,3,0
"175",1,FALSE,"dirichlet",100,110,8,5,5,5,2
"176",1,TRUE,"dirichlet",100,110,4,1,17,2,1
"177",1,FALSE,"dtree",0.100000001490116,120,0,0,25,0,0
"178",1,TRUE,"dtree",0.100000001490116,120,0,0,24,1,0
"179",1,FALSE,"dtree",1,120,0,0,25,0,0
"180",1,TRUE,"dtree",1,120,0,0,25,0,0
"181",1,FALSE,"dtree",10,120,0,0,24,1,0
"182",1,TRUE,"dtree",10,120,0,0,24,1,0
"183",1,FALSE,"dtree",100,120,0,0,17,5,3
"184",1,TRUE,"dtree",100,120,0,0,24,1,0
"185",1,FALSE,"dirichlet",0.100000001490116,120,0,0,23,1,1
"186",1,TRUE,"dirichlet",0.100000001490116,120,0,0,24,1,0
"187",1,FALSE,"dirichlet",1,120,1,1,19,3,1
"188",1,TRUE,"dirichlet",1,120,0,0,23,1,1
"189",1,FALSE,"dirichlet",10,120,6,6,5,6,2
"190",1,TRUE,"dirichlet",10,120,1,0,17,6,1
"191",1,FALSE,"dirichlet",100,120,5,4,3,7,6
"192",1,TRUE,"dirichlet",100,120,1,2,17,4,1
"193",1,FALSE,"dtree",0.100000001490116,130,0,0,25,0,0
"194",1,TRUE,"dtree",0.100000001490116,130,0,0,25,0,0
"195",1,FALSE,"dtree",1,130,0,0,25,0,0
"196",1,TRUE,"dtree",1,130,0,0,25,0,0
"197",1,FALSE,"dtree",10,130,0,0,25,0,0
"198",1,TRUE,"dtree",10,130,0,0,24,1,0
"199",1,FALSE,"dtree",100,130,2,2,14,6,1
"200",1,TRUE,"dtree",100,130,0,0,22,3,0
"201",1,FALSE,"dirichlet",0.100000001490116,130,0,0,24,1,0
"202",1,TRUE,"dirichlet",0.100000001490116,130,0,0,25,0,0
"203",1,FALSE,"dirichlet",1,130,1,1,17,3,3
"204",1,TRUE,"dirichlet",1,130,0,0,18,6,1
"205",1,FALSE,"dirichlet",10,130,4,8,7,3,3
"206",1,TRUE,"dirichlet",10,130,0,0,19,6,0
"207",1,FALSE,"dirichlet",100,130,6,2,9,3,5
"208",1,TRUE,"dirichlet",100,130,0,0,18,4,3
"209",1,FALSE,"dtree",0.100000001490116,140,0,0,25,0,0
"210",1,TRUE,"dtree",0.100000001490116,140,0,0,24,1,0
"211",1,FALSE,"dtree",1,140,0,0,24,1,0
"212",1,TRUE,"dtree",1,140,0,0,24,1,0
"213",1,FALSE,"dtree",10,140,0,0,24,1,0
"214",1,TRUE,"dtree",10,140,0,0,25,0,0
"215",1,FALSE,"dtree",100,140,0,0,20,4,1
"216",1,TRUE,"dtree",100,140,0,0,23,2,0
