"","usingObserved","treeType","scale","counted","numWins"
"137",FALSE,"dirichlet",10,700,93
"138",TRUE,"dirichlet",10,700,100
"139",FALSE,"dirichlet",100,700,93
"140",TRUE,"dirichlet",100,700,100
"141",FALSE,"tree",0.01,800,100
"142",TRUE,"tree",0.01,800,100
"143",FALSE,"tree",0.1,800,100
"144",TRUE,"tree",0.1,800,100
"145",FALSE,"tree",1,800,100
"146",TRUE,"tree",1,800,100
"147",FALSE,"tree",10,800,100
"148",TRUE,"tree",10,800,100
"149",FALSE,"tree",100,800,100
"150",TRUE,"tree",100,800,100
"151",FALSE,"dirichlet",0.01,800,98
"152",TRUE,"dirichlet",0.01,800,100
"153",FALSE,"dirichlet",0.1,800,99
"154",TRUE,"dirichlet",0.1,800,100
"155",FALSE,"dirichlet",1,800,96
"156",TRUE,"dirichlet",1,800,100
"157",FALSE,"dirichlet",10,800,96
"158",TRUE,"dirichlet",10,800,100
"159",FALSE,"dirichlet",100,800,96
"160",TRUE,"dirichlet",100,800,100
"161",FALSE,"tree",0.01,900,100
"162",TRUE,"tree",0.01,900,100
"163",FALSE,"tree",0.1,900,100
"164",TRUE,"tree",0.1,900,100
"165",FALSE,"tree",1,900,100
"166",TRUE,"tree",1,900,100
"167",FALSE,"tree",10,900,100
"168",TRUE,"tree",10,900,100
"169",FALSE,"tree",100,900,100
"170",TRUE,"tree",100,900,100
"171",FALSE,"dirichlet",0.01,900,99
"172",TRUE,"dirichlet",0.01,900,100
"173",FALSE,"dirichlet",0.1,900,100
"174",TRUE,"dirichlet",0.1,900,100
"175",FALSE,"dirichlet",1,900,100
"176",TRUE,"dirichlet",1,900,100
"177",FALSE,"dirichlet",10,900,99
"178",TRUE,"dirichlet",10,900,100
"179",FALSE,"dirichlet",100,900,96
"180",TRUE,"dirichlet",100,900,100
"181",FALSE,"tree",0.01,1000,100
"182",TRUE,"tree",0.01,1000,100
"183",FALSE,"tree",0.1,1000,100
"184",TRUE,"tree",0.1,1000,100
"185",FALSE,"tree",1,1000,100
"186",TRUE,"tree",1,1000,100
"187",FALSE,"tree",10,1000,100
"188",TRUE,"tree",10,1000,100
"189",FALSE,"tree",100,1000,100
"190",TRUE,"tree",100,1000,100
"191",FALSE,"dirichlet",0.01,1000,98
"192",TRUE,"dirichlet",0.01,1000,100
"193",FALSE,"dirichlet",0.1,1000,99
"194",TRUE,"dirichlet",0.1,1000,100
"195",FALSE,"dirichlet",1,1000,100
"196",TRUE,"dirichlet",1,1000,100
"197",FALSE,"dirichlet",10,1000,99
"198",TRUE,"dirichlet",10,1000,100
"199",FALSE,"dirichlet",100,1000,100
"200",TRUE,"dirichlet",100,1000,100
"201",FALSE,"tree",0.01,100,96
"202",TRUE,"tree",0.01,100,99
"203",FALSE,"tree",0.1,100,97
"204",TRUE,"tree",0.1,100,97
"205",FALSE,"tree",1,100,93
"206",TRUE,"tree",1,100,99
"207",FALSE,"tree",10,100,92
"208",TRUE,"tree",10,100,99
"209",FALSE,"tree",100,100,81
