"","usingObserved","treeType","scale","counted","mean","pi.lower","pi.upper"
"1",FALSE,"tree",0.01,100,0.875814958088558,0.486226620788652,0.999959727369625
"2",TRUE,"tree",0.01,100,0.900650238957886,0.516059008277092,0.999999328262357
"3",FALSE,"tree",0.1,100,0.879424594318793,0.522399130141924,0.999898354018996
"4",TRUE,"tree",0.1,100,0.883741420155694,0.439034122485097,0.999999320433683
"5",FALSE,"tree",1,100,0.877643006493665,0.520113415319301,0.999878922487853
"6",TRUE,"tree",1,100,0.915742647001225,0.598922285038323,0.999998426252513
"7",FALSE,"tree",10,100,0.895869790017833,0.576649827894107,0.999932675892762
"8",TRUE,"tree",10,100,0.895037493118792,0.543385296183045,0.9999846636728
"9",FALSE,"tree",100,100,0.761660403938634,0.513594692312531,0.943467349173567
"10",TRUE,"tree",100,100,0.834664197342632,0.474499708779871,0.997744442059088
"11",FALSE,"dirichlet",0.01,100,0.536988950576412,0.482771092785983,0.590839490688896
"12",TRUE,"dirichlet",0.01,100,0.718575487995698,0.427398817066493,0.937324608037824
"13",FALSE,"dirichlet",0.1,100,0.532991207389854,0.484211254895395,0.581506213917056
"14",TRUE,"dirichlet",0.1,100,0.738084059763901,0.456036502788134,0.944654742482878
"15",FALSE,"dirichlet",1,100,0.518977612751801,0.420155400521287,0.617167131188721
"16",TRUE,"dirichlet",1,100,0.74226685217491,0.478172838558601,0.938800267561142
"17",FALSE,"dirichlet",10,100,0.511998112207146,0.479897640751491,0.544056958894305
"18",TRUE,"dirichlet",10,100,0.727929012978964,0.447531561621189,0.937769749348764
"19",FALSE,"dirichlet",100,100,0.502086825509733,0.404524803861753,0.599580776593081
"20",TRUE,"dirichlet",100,100,0.710393856329581,0.454239280860735,0.913453497074456
"21",FALSE,"tree",0.01,200,0.97048331623652,0.886493818374394,0.999902323751826
"22",TRUE,"tree",0.01,200,0.982218693407689,0.895187149336771,0.999999999998923
"23",FALSE,"tree",0.1,200,0.972616641004119,0.865706632269811,0.999999688525358
"24",TRUE,"tree",0.1,200,0.989494098272178,0.954060223072883,1
"25",FALSE,"tree",1,200,0.981071355429068,0.913918118659454,0.999997732901507
"26",TRUE,"tree",1,200,0.980375093829597,0.883900015342859,0.999999999998898
"27",FALSE,"tree",10,200,0.976134247372166,0.873238368149433,0.999999991462695
"28",TRUE,"tree",10,200,0.987449991276049,0.92338260499515,1
"29",FALSE,"tree",100,200,0.92584420907746,0.809789150596636,0.991739436471918
"30",TRUE,"tree",100,200,0.966711444346803,0.856408023611385,0.999986776027454
"31",FALSE,"dirichlet",0.01,200,0.66032896267328,0.549827125165221,0.763759274489292
"32",TRUE,"dirichlet",0.01,200,0.923263527549448,0.763747378496246,0.997517677818861
"33",FALSE,"dirichlet",0.1,200,0.619988530376414,0.61668559969207,0.623286797661677
"34",TRUE,"dirichlet",0.1,200,0.935706128394393,0.847631156952476,0.989395059575149
"35",FALSE,"dirichlet",1,200,0.650980693318899,0.637235021689482,0.664621589274341
"36",TRUE,"dirichlet",1,200,0.934781742062095,0.804495951886621,0.99726089981736
"37",FALSE,"dirichlet",10,200,0.656909303730337,0.654813522406643,0.659002517936458
"38",TRUE,"dirichlet",10,200,0.925614393785847,0.816340806528786,0.98996780672451
"39",FALSE,"dirichlet",100,200,0.64200499502446,0.598272488311232,0.684762038493771
"40",TRUE,"dirichlet",100,200,0.910371688169094,0.765781904976186,0.991276214287494
"41",FALSE,"tree",0.01,300,0.988362700799346,0.929254311103437,1
"42",TRUE,"tree",0.01,300,0.997039111515538,0.983074111124617,1
"43",FALSE,"tree",0.1,300,0.984815586627925,0.906222721271548,1
"44",TRUE,"tree",0.1,300,0.995178375650608,0.975019254837708,1
"45",FALSE,"tree",1,300,0.988362700799346,0.929254311103437,1
"46",TRUE,"tree",1,300,0.991780933244962,0.962305782119027,1
"47",FALSE,"tree",10,300,0.984150230309804,0.908104847966034,0.999999999995123
"48",TRUE,"tree",10,300,0.998008347758559,0.988356456166999,1
"49",FALSE,"tree",100,300,0.959756309668665,0.828806892573537,0.999979498174443
"50",TRUE,"tree",100,300,0.984771679179608,0.905965575084984,1
"51",FALSE,"dirichlet",0.01,300,0.759896010540913,0.665991589146197,0.844049787934658
"52",TRUE,"dirichlet",0.01,300,0.977951364991864,0.881578315112999,0.999999995879988
"53",FALSE,"dirichlet",0.1,300,0.745970576673913,0.690868304504709,0.797918497904614
"54",TRUE,"dirichlet",0.1,300,0.978577433831396,0.872285725818544,0.999999999999334
"55",FALSE,"dirichlet",1,300,0.739674560315373,0.636075052461364,0.832835446189592
"56",TRUE,"dirichlet",1,300,0.983928966190577,0.917763201413573,0.999999968762839
"57",FALSE,"dirichlet",10,300,0.777775976733162,0.67203004213382,0.869817551030145
"58",TRUE,"dirichlet",10,300,0.989494098272178,0.954060223072883,1
"59",FALSE,"dirichlet",100,300,0.754710512935299,0.663435465215494,0.837049014375254
"60",TRUE,"dirichlet",100,300,0.982299228600708,0.889395291531479,1
"61",FALSE,"tree",0.01,400,0.997039111515538,0.983074111124617,1
"62",TRUE,"tree",0.01,400,0.999999972761955,0.999999990840857,1
"63",FALSE,"tree",0.1,400,0.998008347758559,0.988356456166999,1
"64",TRUE,"tree",0.1,400,0.999999972761955,0.999999990840857,1
"65",FALSE,"tree",1,400,0.999999972761955,0.999999990840857,1
"66",TRUE,"tree",1,400,0.999999972761955,0.999999990840857,1
"67",FALSE,"tree",10,400,0.997999984273083,0.997968815238363,0.998030950893408
"68",TRUE,"tree",10,400,0.999999972761955,0.999999990840857,1
"69",FALSE,"tree",100,400,0.987027870586935,0.954852754704747,0.999830724814879
"70",TRUE,"tree",100,400,0.999999972761955,0.999999990840857,1
"71",FALSE,"dirichlet",0.01,400,0.845997730033093,0.832879017553339,0.858742784385854
"72",TRUE,"dirichlet",0.01,400,0.997999984273083,0.997968815238363,0.998030950893408
"73",FALSE,"dirichlet",0.1,400,0.835000934820311,0.801187203194399,0.866614878431605
"74",TRUE,"dirichlet",0.1,400,0.999999972761955,0.999999990840857,1
"75",FALSE,"dirichlet",1,400,0.824985709671307,0.822912173690023,0.827051143041915
"76",TRUE,"dirichlet",1,400,0.999006705787506,0.998975184519362,0.999037812565307
"77",FALSE,"dirichlet",10,400,0.850008332050686,0.806153043595679,0.88978536333585
"78",TRUE,"dirichlet",10,400,0.999006705787506,0.998975184519362,0.999037812565307
"79",FALSE,"dirichlet",100,400,0.823011196493707,0.76387705151102,0.876177194501965
"80",TRUE,"dirichlet",100,400,0.999006705787506,0.998975184519362,0.999037812565307
"81",FALSE,"tree",0.01,500,0.999999972761955,0.999999990840857,1
"82",TRUE,"tree",0.01,500,0.999999972761955,0.999999990840857,1
"83",FALSE,"tree",0.1,500,0.999006705787506,0.998975184519362,0.999037812565307
"84",TRUE,"tree",0.1,500,0.999999972761955,0.999999990840857,1
"85",FALSE,"tree",1,500,0.999999972761955,0.999999990840857,1
"86",TRUE,"tree",1,500,0.999999972761955,0.999999990840857,1
"87",FALSE,"tree",10,500,0.999999972761955,0.999999990840857,1
"88",TRUE,"tree",10,500,0.999999972761955,0.999999990840857,1
"89",FALSE,"tree",100,500,0.997001621093778,0.988157872871638,0.999992446890626
"90",TRUE,"tree",100,500,0.999999972761955,0.999999990840857,1
"91",FALSE,"dirichlet",0.01,500,0.89399394170005,0.854441993219833,0.928665022600611
"92",TRUE,"dirichlet",0.01,500,0.999999972761955,0.999999990840857,1
"93",FALSE,"dirichlet",0.1,500,0.885021921334665,0.831971767732856,0.930226901963878
"94",TRUE,"dirichlet",0.1,500,0.999999972761955,0.999999990840857,1
"95",FALSE,"dirichlet",1,500,0.892988741146243,0.850683092865177,0.92979937661513
"96",TRUE,"dirichlet",1,500,0.999999972761955,0.999999990840857,1
"97",FALSE,"dirichlet",10,500,0.887229717923253,0.788058451965821,0.96046423693306
"98",TRUE,"dirichlet",10,500,0.999999972761955,0.999999990840857,1
"99",FALSE,"dirichlet",100,500,0.894998893907288,0.853415611134395,0.93115959993862
"100",TRUE,"dirichlet",100,500,0.999999972761955,0.999999990840857,1
"101",FALSE,"tree",0.01,600,0.999999972761955,0.999999990840857,1
"102",TRUE,"tree",0.01,600,0.999999972761955,0.999999990840857,1
"103",FALSE,"tree",0.1,600,0.999999972761955,0.999999990840857,1
"104",TRUE,"tree",0.1,600,0.999999972761955,0.999999990840857,1
"105",FALSE,"tree",1,600,0.999999972761955,0.999999990840857,1
"106",TRUE,"tree",1,600,0.999999972761955,0.999999990840857,1
"107",FALSE,"tree",10,600,0.999999972761955,0.999999990840857,1
"108",TRUE,"tree",10,600,0.999999972761955,0.999999990840857,1
"109",FALSE,"tree",100,600,0.999006705787506,0.998975184519362,0.999037812565307
"110",TRUE,"tree",100,600,0.999999972761955,0.999999990840857,1
"111",FALSE,"dirichlet",0.01,600,0.911007111911917,0.883622416068759,0.935498984657056
"112",TRUE,"dirichlet",0.01,600,0.999999972761955,0.999999990840857,1
"113",FALSE,"dirichlet",0.1,600,0.91800884760588,0.875843889496794,0.953055242470268
"114",TRUE,"dirichlet",0.1,600,0.999999972761955,0.999999990840857,1
"115",FALSE,"dirichlet",1,600,0.941079629201818,0.89050926806983,0.978132550729796
"116",TRUE,"dirichlet",1,600,0.999999972761955,0.999999990840857,1
"117",FALSE,"dirichlet",10,600,0.944999907775071,0.937196271705823,0.952387637770916
"118",TRUE,"dirichlet",10,600,0.999999972761955,0.999999990840857,1
"119",FALSE,"dirichlet",100,600,0.91198753229165,0.84341062786255,0.964053976545959
"120",TRUE,"dirichlet",100,600,0.999999972761955,0.999999990840857,1
"121",FALSE,"tree",0.01,700,0.999999972761955,0.999999990840857,1
"122",TRUE,"tree",0.01,700,0.999999972761955,0.999999990840857,1
"123",FALSE,"tree",0.1,700,0.999999972761955,0.999999990840857,1
"124",TRUE,"tree",0.1,700,0.999999972761955,0.999999990840857,1
"125",FALSE,"tree",1,700,0.999999972761955,0.999999990840857,1
"126",TRUE,"tree",1,700,0.999999972761955,0.999999990840857,1
"127",FALSE,"tree",10,700,0.999999972761955,0.999999990840857,1
"128",TRUE,"tree",10,700,0.999999972761955,0.999999990840857,1
"129",FALSE,"tree",100,700,0.999006705787506,0.998975184519362,0.999037812565307
"130",TRUE,"tree",100,700,0.999999972761955,0.999999990840857,1
"131",FALSE,"dirichlet",0.01,700,0.946980429383326,0.910205754002075,0.975500260574546
"132",TRUE,"dirichlet",0.01,700,0.999999972761955,0.999999990840857,1
"133",FALSE,"dirichlet",0.1,700,0.945987343792163,0.942616457710774,0.949276839032516
"134",TRUE,"dirichlet",0.1,700,0.999999972761955,0.999999990840857,1
"135",FALSE,"dirichlet",1,700,0.942004478453222,0.940762913155059,0.943235648389578
"136",TRUE,"dirichlet",1,700,0.999999972761955,0.999999990840857,1
"137",FALSE,"dirichlet",10,700,0.942995243985048,0.911749479254968,0.968529071802795
"138",TRUE,"dirichlet",10,700,0.999999972761955,0.999999990840857,1
"139",FALSE,"dirichlet",100,700,0.940997717223193,0.928998241326553,0.952103047741316
"140",TRUE,"dirichlet",100,700,0.999999972761955,0.999999990840857,1
"141",FALSE,"tree",0.01,800,0.999999972761955,0.999999990840857,1
"142",TRUE,"tree",0.01,800,0.999999972761955,0.999999990840857,1
"143",FALSE,"tree",0.1,800,0.999999972761955,0.999999990840857,1
"144",TRUE,"tree",0.1,800,0.999999972761955,0.999999990840857,1
"145",FALSE,"tree",1,800,0.999999972761955,0.999999990840857,1
"146",TRUE,"tree",1,800,0.999999972761955,0.999999990840857,1
"147",FALSE,"tree",10,800,0.999999972761955,0.999999990840857,1
"148",TRUE,"tree",10,800,0.999999972761955,0.999999990840857,1
"149",FALSE,"tree",100,800,0.999999972761955,0.999999990840857,1
"150",TRUE,"tree",100,800,0.999999972761955,0.999999990840857,1
"151",FALSE,"dirichlet",0.01,800,0.974989247738257,0.972543271352917,0.977340944661818
"152",TRUE,"dirichlet",0.01,800,0.999999972761955,0.999999990840857,1
"153",FALSE,"dirichlet",0.1,800,0.970968617530622,0.96797136040833,0.973844668304977
"154",TRUE,"dirichlet",0.1,800,0.999999972761955,0.999999990840857,1
"155",FALSE,"dirichlet",1,800,0.968000122769569,0.958710332228973,0.976301462778446
"156",TRUE,"dirichlet",1,800,0.999999972761955,0.999999990840857,1
"157",FALSE,"dirichlet",10,800,0.959992851021649,0.957285677366346,0.962628165463266
"158",TRUE,"dirichlet",10,800,0.999999972761955,0.999999990840857,1
"159",FALSE,"dirichlet",100,800,0.963000500334789,0.948191199090569,0.97571699169795
"160",TRUE,"dirichlet",100,800,0.999999972761955,0.999999990840857,1
"161",FALSE,"tree",0.01,900,0.999999972761955,0.999999990840857,1
"162",TRUE,"tree",0.01,900,0.999999972761955,0.999999990840857,1
"163",FALSE,"tree",0.1,900,0.999999972761955,0.999999990840857,1
"164",TRUE,"tree",0.1,900,0.999999972761955,0.999999990840857,1
"165",FALSE,"tree",1,900,0.999999972761955,0.999999990840857,1
"166",TRUE,"tree",1,900,0.999999972761955,0.999999990840857,1
"167",FALSE,"tree",10,900,0.999999972761955,0.999999990840857,1
"168",TRUE,"tree",10,900,0.999999972761955,0.999999990840857,1
"169",FALSE,"tree",100,900,0.999999972761955,0.999999990840857,1
"170",TRUE,"tree",100,900,0.999999972761955,0.999999990840857,1
"171",FALSE,"dirichlet",0.01,900,0.97598936895516,0.972979354037638,0.978852013809274
"172",TRUE,"dirichlet",0.01,900,0.999999972761955,0.999999990840857,1
"173",FALSE,"dirichlet",0.1,900,0.981001581733596,0.965034782529213,0.992658896258535
"174",TRUE,"dirichlet",0.1,900,0.999999972761955,0.999999990840857,1
"175",FALSE,"dirichlet",1,900,0.982005494810525,0.957258293062398,0.996883669541255
"176",TRUE,"dirichlet",1,900,0.999999972761955,0.999999990840857,1
"177",FALSE,"dirichlet",10,900,0.97999921603447,0.969501940069114,0.98858885918162
"178",TRUE,"dirichlet",10,900,0.999999972761955,0.999999990840857,1
"179",FALSE,"dirichlet",100,900,0.97300055733129,0.950885272486455,0.989301696548299
"180",TRUE,"dirichlet",100,900,0.999999972761955,0.999999990840857,1
"181",FALSE,"tree",0.01,1000,0.999999972761955,0.999999990840857,1
"182",TRUE,"tree",0.01,1000,0.999999972761955,0.999999990840857,1
"183",FALSE,"tree",0.1,1000,0.999999972761955,0.999999990840857,1
"184",TRUE,"tree",0.1,1000,0.999999972761955,0.999999990840857,1
"185",FALSE,"tree",1,1000,0.999999972761955,0.999999990840857,1
"186",TRUE,"tree",1,1000,0.999999972761955,0.999999990840857,1
"187",FALSE,"tree",10,1000,0.999999972761955,0.999999990840857,1
"188",TRUE,"tree",10,1000,0.999999972761955,0.999999990840857,1
"189",FALSE,"tree",100,1000,0.999999972761955,0.999999990840857,1
"190",TRUE,"tree",100,1000,0.999999972761955,0.999999990840857,1
"191",FALSE,"dirichlet",0.01,1000,0.983999224067729,0.983720726410275,0.984275731967162
"192",TRUE,"dirichlet",0.01,1000,0.999999972761955,0.999999990840857,1
"193",FALSE,"dirichlet",0.1,1000,0.98699570660764,0.985971486866673,0.987987507968014
"194",TRUE,"dirichlet",0.1,1000,0.999999972761955,0.999999990840857,1
"195",FALSE,"dirichlet",1,1000,0.986997924689713,0.972103396597864,0.996724847636846
"196",TRUE,"dirichlet",1,1000,0.999999972761955,0.999999990840857,1
"197",FALSE,"dirichlet",10,1000,0.981002620400079,0.95874170165927,0.995423984365801
"198",TRUE,"dirichlet",10,1000,0.999999972761955,0.999999990840857,1
"199",FALSE,"dirichlet",100,1000,0.98700038054584,0.975808423126468,0.99510010382498
"200",TRUE,"dirichlet",100,1000,0.999999972761955,0.999999990840857,1
